Week,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
0,605.8571428571429,126.57142857142857,0.0,0.0,104.0,24.714285714285715,83.71428571428571,495.14285714285717
1,515.2857142857143,104.57142857142857,117.14285714285714,220.85714285714286,85.14285714285714,29.428571428571427,115.28571428571429,252.28571428571428
2,511.42857142857144,111.0,117.14285714285714,230.14285714285714,90.57142857142857,13.428571428571429,117.28571428571429,249.0
3,512.4285714285714,108.14285714285714,117.14285714285714,230.85714285714286,88.14285714285714,26.0,102.42857142857143,254.85714285714286
4,513.2857142857143,110.14285714285714,117.14285714285714,202.28571428571428,96.14285714285714,22.428571428571427,111.42857142857143,267.14285714285717
5,517.4285714285714,96.85714285714286,117.14285714285714,220.85714285714286,118.28571428571429,23.571428571428573,102.42857142857143,243.42857142857142
6,517.7142857142857,109.0,117.14285714285714,235.28571428571428,100.28571428571429,19.142857142857142,105.42857142857143,236.0
7,523.4285714285714,109.14285714285714,117.14285714285714,219.85714285714286,102.0,15.571428571428571,111.0,241.85714285714286
8,535.5714285714286,105.85714285714286,117.14285714285714,221.71428571428572,101.85714285714286,15.428571428571429,95.42857142857143,247.0
9,584.2857142857143,102.14285714285714,0.0,0.0,107.28571428571429,28.571428571428573,85.42857142857143,532.2857142857143
10,527.8571428571429,114.85714285714286,117.14285714285714,225.85714285714286,107.14285714285714,13.714285714285714,102.0,231.42857142857142
11,512.5714285714286,100.85714285714286,117.14285714285714,230.57142857142858,99.42857142857143,18.857142857142858,98.14285714285714,262.42857142857144
12,520.8571428571429,114.42857142857143,117.14285714285714,222.71428571428572,98.14285714285714,19.142857142857142,93.71428571428571,253.85714285714286
13,508.14285714285717,106.85714285714286,117.14285714285714,231.42857142857142,103.0,20.571428571428573,102.57142857142857,250.28571428571428
14,516.5714285714286,118.42857142857143,117.14285714285714,226.28571428571428,101.42857142857143,17.285714285714285,107.85714285714286,235.0
15,524.1428571428571,114.71428571428571,117.14285714285714,218.57142857142858,110.85714285714286,22.571428571428573,107.14285714285714,224.85714285714286
16,514.0,107.42857142857143,117.14285714285714,229.85714285714286,81.0,17.285714285714285,97.0,276.2857142857143
17,597.2857142857143,111.71428571428571,0.0,0.0,102.57142857142857,23.285714285714285,75.14285714285714,530.0
18,631.0,102.14285714285714,0.0,0.0,105.57142857142857,35.714285714285715,83.14285714285714,482.42857142857144
19,587.8571428571429,118.71428571428571,0.0,0.0,85.28571428571429,33.857142857142854,114.71428571428571,499.57142857142856
20,596.8571428571429,111.28571428571429,0.0,0.0,115.71428571428571,32.857142857142854,47.142857142857146,536.1428571428571
